N	numinstance	numrun	fitness	budget
100	0	0	6198	14401
100	0	1	6219	14201
100	0	2	6219	13401
100	0	3	6219	15601
100	0	4	6219	14801
100	0	5	6197	13201
100	0	6	6219	15201
100	0	7	6210	10801
100	0	8	6219	15601
100	0	9	6210	12201
100	0	10	6219	13001
100	0	11	6219	13401
100	0	12	6210	15401
100	0	13	6219	13801
100	0	14	6219	12601
100	0	15	6210	14401
100	0	16	6197	12201
100	0	17	6219	15601
100	0	18	6197	12801
100	0	19	6192	13601
100	0	20	6189	17201
100	0	21	6219	15401
100	0	22	6219	13001
100	0	23	6219	14001
100	0	24	6219	13801
100	0	25	6219	11401
100	0	26	6197	13801
100	0	27	6197	15201
100	0	28	6219	13201
100	0	29	6210	12801
100	0	30	6219	12601
100	0	31	6210	16001
100	0	32	6219	14201
100	0	33	6198	11001
100	0	34	6198	9201
100	0	35	6219	14601
100	0	36	6219	14401
100	0	37	6198	11801
100	0	38	6197	13201
100	0	39	6210	14801
100	0	40	6219	13801
100	0	41	6219	16801
100	0	42	6197	15401
100	0	43	6197	12801
100	0	44	6219	14001
100	0	45	6189	12801
100	0	46	6219	16401
100	0	47	6219	13401
100	0	48	6197	15801
100	0	49	6219	16201
100	0	50	6219	16601
100	0	51	6219	13601
100	0	52	6210	14601
100	0	53	6210	10601
100	0	54	6219	15401
100	0	55	6197	16001
100	0	56	6219	14801
100	0	57	6219	14801
100	0	58	6219	12801
100	0	59	6198	13001
100	0	60	6219	14201
100	0	61	6210	13601
100	0	62	6219	12601
100	0	63	6189	14801
100	0	64	6219	12401
100	0	65	6219	13801
100	0	66	6219	16001
100	0	67	6210	16001
100	0	68	6219	14401
100	0	69	6219	15601
100	0	70	6219	13801
100	1	0	3915	15201
100	1	1	3919	13801
100	1	2	3929	12201
100	1	3	3901	13801
100	1	4	3941	14601
100	1	5	3955	15201
100	1	6	3926	15801
100	1	7	3869	13201
100	1	8	3955	11601
100	1	9	3929	13601
100	1	10	3919	14601
100	1	11	3914	12401
100	1	12	3899	16001
100	1	13	3872	14601
100	1	14	3848	17001
100	1	15	3929	15001
100	1	16	3929	12401
100	1	17	3869	10401
100	1	18	3955	12401
100	1	19	3901	12001
100	1	20	3955	15801
100	1	21	3867	15201
100	1	22	3926	15401
100	1	23	3902	15601
100	1	24	3914	14001
100	1	25	3955	15201
100	1	26	3869	14801
100	1	27	3955	12201
100	1	28	3926	16601
100	1	29	3869	15801
100	1	30	3929	12601
100	1	31	3929	11401
100	1	32	3955	15001
100	1	33	3955	15401
100	1	34	3955	13801
100	1	35	3867	14001
100	1	36	3926	13201
100	1	37	3955	13801
100	1	38	3915	13201
100	1	39	3955	14001
100	1	40	3901	14201
100	1	41	3869	12001
100	1	42	3901	15601
100	1	43	3901	10801
100	1	44	3929	14801
100	1	45	3955	14801
100	1	46	3869	16001
100	1	47	3869	16801
100	1	48	3955	15401
100	1	49	3872	13001
100	1	50	3901	13801
100	1	51	3863	14401
100	1	52	3919	14601
100	1	53	3914	14201
100	1	54	3901	18401
100	1	55	3929	11801
100	1	56	3926	13201
100	1	57	3869	10601
100	1	58	3934	11601
100	1	59	3929	12001
100	1	60	3955	13401
100	1	61	3955	13601
100	1	62	3929	12201
100	1	63	3823	13601
100	1	64	3929	10601
100	1	65	3901	15801
100	1	66	3934	13801
100	1	67	3902	14801
100	1	68	3955	14001
100	1	69	3915	10401
100	1	70	3934	13001
100	1	71	3915	13601
100	2	0	5584	13001
100	2	1	5562	16201
100	2	2	5560	14601
100	2	3	5542	14801
100	2	4	5558	14401
100	2	5	5584	16001
100	2	6	5589	15601
100	2	7	5584	15401
100	2	8	5560	13201
100	2	9	5542	14601
100	2	10	5584	14001
100	2	11	5584	15201
100	2	12	5584	15801
100	2	13	5542	17001
100	2	14	5571	13801
100	2	15	5571	16201
100	2	16	5584	15001
100	2	17	5584	14401
100	2	18	5584	15201
100	2	19	5589	15801
100	2	20	5571	16001
100	2	21	5575	15601
100	2	22	5575	12201
100	2	23	5589	15401
100	2	24	5584	12601
100	2	25	5584	15401
100	2	26	5584	14201
100	2	27	5584	17601
100	2	28	5584	13601
100	2	29	5575	15001
100	2	30	5560	14001
100	2	31	5571	14201
100	2	32	5562	15001
100	2	33	5589	15601
100	2	34	5533	12601
100	2	35	5584	15401
100	2	36	5584	11601
100	2	37	5560	14601
100	2	38	5589	14601
100	2	39	5558	13801
100	2	40	5589	15201
100	2	41	5584	15001
100	2	42	5584	15401
100	2	43	5533	13401
100	2	44	5571	16201
100	2	45	5574	12001
100	2	46	5584	13201
100	2	47	5584	13001
100	2	48	5584	14801
100	2	49	5584	13401
100	2	50	5575	14601
100	2	51	5584	11801
100	2	52	5589	14601
100	2	53	5589	15001
100	2	54	5589	16201
100	2	55	5558	16401
100	2	56	5584	15801
100	2	57	5584	13201
100	2	58	5584	16401
100	2	59	5571	15201
100	2	60	5542	14201
100	2	61	5571	13401
100	2	62	5571	15201
100	2	63	5584	17001
100	2	64	5558	13201
100	2	65	5584	12201
100	2	66	5571	15601
100	2	67	5533	13401
100	3	0	6451	12601
100	3	1	6449	16401
100	3	2	6478	16001
100	3	3	6449	16801
100	3	4	6478	15601
100	3	5	6449	14801
100	3	6	6449	16001
100	3	7	6449	15001
100	3	8	6449	16801
100	3	9	6478	15601
100	3	10	6449	16401
100	3	11	6449	16601
100	3	12	6451	15801
100	3	13	6478	16401
100	3	14	6449	15001
100	3	15	6478	18801
100	3	16	6449	15001
100	3	17	6449	15001
100	3	18	6451	16201
100	3	19	6449	15401
100	3	20	6449	18801
100	3	21	6449	16001
100	3	22	6449	16201
100	3	23	6449	15001
100	3	24	6478	15801
100	3	25	6449	13001
100	3	26	6449	15401
100	3	27	6478	17001
100	3	28	6449	13801
100	3	29	6449	14201
100	3	30	6449	14801
100	3	31	6422	12601
100	3	32	6478	16001
100	3	33	6449	15601
100	3	34	6478	15201
100	3	35	6449	16601
100	3	36	6449	16801
100	3	37	6449	18601
100	3	38	6478	14001
100	3	39	6449	13201
100	3	40	6449	15601
100	3	41	6478	16401
100	3	42	6449	11001
100	3	43	6449	13601
100	3	44	6449	15601
100	3	45	6449	16601
100	3	46	6449	18601
100	3	47	6449	13201
100	3	48	6449	16201
100	3	49	6449	16801
100	3	50	6449	18201
100	3	51	6478	14601
100	3	52	6449	18001
100	3	53	6478	16801
100	3	54	6449	14001
100	3	55	6478	16801
100	3	56	6478	18401
100	3	57	6449	17401
100	3	58	6478	15001
100	3	59	6449	15601
100	3	60	6478	17001
100	3	61	6449	13601
100	3	62	6451	14001
100	4	0	5303	15801
100	4	1	5303	13201
100	4	2	5253	15601
100	4	3	5253	12401
100	4	4	5219	12601
100	4	5	5303	14001
100	4	6	5253	16801
100	4	7	5253	12601
100	4	8	5303	14401
100	4	9	5249	14201
100	4	10	5303	15601
100	4	11	5303	14201
100	4	12	5227	15001
100	4	13	5303	15201
100	4	14	5205	14601
100	4	15	5303	15401
100	4	16	5205	13201
100	4	17	5303	18601
100	4	18	5303	13401
100	4	19	5303	11201
100	4	20	5249	14401
100	4	21	5303	13401
100	4	22	5303	15201
100	4	23	5303	15401
100	4	24	5303	14001
100	4	25	5205	15001
100	4	26	5249	13601
100	4	27	5205	13401
100	4	28	5205	13801
100	4	29	5303	17001
100	4	30	5219	12001
100	4	31	5303	13601
100	4	32	5303	13601
100	4	33	5253	16201
100	4	34	5219	13801
100	4	35	5253	14201
100	4	36	5253	14401
100	4	37	5253	14801
100	4	38	5205	13801
100	4	39	5303	15601
100	4	40	5219	13601
100	4	41	5253	14001
100	4	42	5227	15201
100	4	43	5253	15601
100	4	44	5249	12401
100	4	45	5249	17601
100	4	46	5303	13001
100	4	47	5303	12201
100	4	48	5303	13401
100	4	49	5253	13401
100	4	50	5249	13801
100	4	51	5303	14001
100	4	52	5303	14201
100	4	53	5303	14801
100	4	54	5227	12401
100	4	55	5253	14401
100	4	56	5249	13001
100	4	57	5219	14601
100	4	58	5249	13601
100	4	59	5303	11601
100	4	60	5303	16201
100	4	61	5303	14001
100	4	62	5303	14001
100	4	63	5253	15201
100	4	64	5276	14201
100	4	65	5227	15801
100	4	66	5205	13801
100	4	67	5303	11601
100	4	68	5303	13001
100	4	69	5303	13601
100	5	0	4497	14801
100	5	1	4498	16201
100	5	2	4453	13001
100	5	3	4498	14401
100	5	4	4405	12401
100	5	5	4474	15201
100	5	6	4405	13801
100	5	7	4497	15801
100	5	8	4497	14401
100	5	9	4498	12001
100	5	10	4498	17001
100	5	11	4498	14401
100	5	12	4498	12001
100	5	13	4474	13801
100	5	14	4498	12801
100	5	15	4498	13801
100	5	16	4497	13601
100	5	17	4474	10401
100	5	18	4405	11401
100	5	19	4498	13401
100	5	20	4498	12601
100	5	21	4497	13001
100	5	22	4497	11801
100	5	23	4453	14401
100	5	24	4497	13401
100	5	25	4498	16001
100	5	26	4498	18401
100	5	27	4498	15001
100	5	28	4497	11001
100	5	29	4498	16201
100	5	30	4498	13001
100	5	31	4498	13401
100	5	32	4498	12401
100	5	33	4474	14201
100	5	34	4467	12801
100	5	35	4498	16601
100	5	36	4497	13001
100	5	37	4497	15801
100	5	38	4497	14401
100	5	39	4497	13201
100	5	40	4498	12201
100	5	41	4497	14401
100	5	42	4498	12601
100	5	43	4497	13801
100	5	44	4497	14201
100	5	45	4498	13801
100	5	46	4498	13001
100	5	47	4498	16801
100	5	48	4498	13201
100	5	49	4498	16801
100	5	50	4497	15801
100	5	51	4497	12401
100	5	52	4498	16201
100	5	53	4497	15201
100	5	54	4498	15001
100	5	55	4497	14201
100	5	56	4498	14801
100	5	57	4399	13201
100	5	58	4498	14201
100	5	59	4498	13201
100	5	60	4474	13201
100	5	61	4498	12401
100	5	62	4498	13401
100	5	63	4498	13401
100	5	64	4497	12401
100	5	65	4472	11601
100	5	66	4498	14601
100	5	67	4498	10601
100	5	68	4498	14001
100	5	69	4498	14001
100	5	70	4498	11801
100	5	71	4453	14401
100	6	0	5201	13801
100	6	1	5207	10001
100	6	2	5207	12601
100	6	3	5235	15401
100	6	4	5213	14001
100	6	5	5222	12601
100	6	6	5222	15601
100	6	7	5228	12201
100	6	8	5214	14201
100	6	9	5223	11801
100	6	10	5207	11601
100	6	11	5228	15601
100	6	12	5228	11601
100	6	13	5205	13401
100	6	14	5222	15401
100	6	15	5181	12801
100	6	16	5213	12801
100	6	17	5228	16401
100	6	18	5222	12801
100	6	19	5214	10601
100	6	20	5181	12001
100	6	21	5214	14401
100	6	22	5205	14001
100	6	23	5181	14001
100	6	24	5211	12401
100	6	25	5228	13401
100	6	26	5228	12201
100	6	27	5222	14601
100	6	28	5222	15201
100	6	29	5214	13601
100	6	30	5207	12601
100	6	31	5207	13201
100	6	32	5207	12201
100	6	33	5207	12601
100	6	34	5205	11201
100	6	35	5235	13801
100	6	36	5223	14401
100	6	37	5222	14201
100	6	38	5228	14201
100	6	39	5214	12601
100	6	40	5222	13201
100	6	41	5222	14401
100	6	42	5207	13201
100	6	43	5184	12001
100	6	44	5222	13601
100	6	45	5207	9401
100	6	46	5213	15401
100	6	47	5243	15801
100	6	48	5162	11601
100	6	49	5222	12001
100	6	50	5228	14001
100	6	51	5181	16601
100	6	52	5228	13601
100	6	53	5205	13201
100	6	54	5213	17201
100	6	55	5228	15001
100	6	56	5208	15801
100	6	57	5235	15001
100	6	58	5181	15401
100	6	59	5222	14201
100	6	60	5222	14801
100	6	61	5130	13801
100	6	62	5228	14201
100	6	63	5235	14401
100	6	64	5221	14601
100	6	65	5228	12601
100	6	66	5222	13801
100	6	67	5190	15401
100	6	68	5205	15801
100	6	69	5222	17001
100	6	70	5228	13601
100	6	71	5214	15601
100	7	0	4973	14601
100	7	1	4970	15801
100	7	2	4964	15601
100	7	3	4962	16001
100	7	4	4964	13401
100	7	5	4973	15201
100	7	6	4957	12401
100	7	7	4990	15001
100	7	8	4973	15601
100	7	9	4962	13201
100	7	10	4990	16001
100	7	11	4990	16401
100	7	12	4982	14801
100	7	13	4964	14201
100	7	14	4990	13401
100	7	15	4982	15801
100	7	16	4973	13201
100	7	17	4990	16401
100	7	18	4987	13201
100	7	19	4982	13001
100	7	20	4926	15401
100	7	21	4973	14801
100	7	22	4990	15601
100	7	23	5015	14601
100	7	24	4982	15801
100	7	25	4990	17201
100	7	26	4999	17201
100	7	27	5015	14001
100	7	28	4990	15001
100	7	29	4990	14201
100	7	30	4971	15601
100	7	31	4990	16601
100	7	32	4990	13801
100	7	33	4961	15201
100	7	34	4990	13801
100	7	35	4999	15801
100	7	36	4990	16401
100	7	37	4964	14601
100	7	38	4973	12001
100	7	39	4990	16601
100	7	40	4990	13201
100	7	41	4973	15801
100	7	42	4948	16001
100	7	43	4985	14601
100	7	44	4982	15801
100	7	45	4999	14201
100	7	46	4967	16801
100	7	47	5015	18401
100	7	48	5015	12401
100	7	49	4984	15801
100	7	50	4978	16601
100	7	51	4990	15401
100	7	52	4964	12801
100	7	53	4967	12401
100	7	54	4967	14801
100	7	55	4973	13801
100	7	56	4978	11401
100	7	57	5015	13201
100	7	58	4985	14001
100	7	59	4999	11801
100	7	60	4982	15001
100	7	61	4973	12601
100	7	62	4999	17401
100	7	63	4961	16001
100	7	64	4945	13201
100	7	65	4987	12401
100	7	66	4990	15001
100	8	0	5690	14001
100	8	1	5690	15401
100	8	2	5690	15801
100	8	3	5690	11401
100	8	4	5690	17401
100	8	5	5690	12001
100	8	6	5690	14801
100	8	7	5690	15201
100	8	8	5690	13201
100	8	9	5690	16801
100	8	10	5690	13801
100	8	11	5690	14201
100	8	12	5690	15401
100	8	13	5690	15401
100	8	14	5690	16401
100	8	15	5690	14801
100	8	16	5690	15601
100	8	17	5690	15801
100	8	18	5690	16401
100	8	19	5690	13601
100	8	20	5690	15601
100	8	21	5690	16401
100	8	22	5690	14201
100	8	23	5690	16801
100	8	24	5690	13001
100	8	25	5690	16401
100	8	26	5690	15201
100	8	27	5690	15201
100	8	28	5690	18201
100	8	29	5690	14801
100	8	30	5690	14801
100	8	31	5690	14801
100	8	32	5690	15801
100	8	33	5690	14401
100	8	34	5690	16201
100	8	35	5690	17401
100	8	36	5690	16001
100	8	37	5690	14001
100	8	38	5690	13801
100	8	39	5690	16001
100	8	40	5690	17001
100	8	41	5690	14801
100	8	42	5690	13601
100	8	43	5690	14401
100	8	44	5690	17201
100	8	45	5690	17601
100	8	46	5690	13401
100	8	47	5690	13001
100	8	48	5690	16201
100	8	49	5690	15001
100	8	50	5690	15001
100	8	51	5690	15801
100	8	52	5690	15201
100	8	53	5690	12801
100	8	54	5690	16601
100	8	55	5690	14401
100	8	56	5690	13801
100	8	57	5690	13601
100	8	58	5690	18601
100	8	59	5690	13801
100	8	60	5690	15401
100	8	61	5690	13001
100	8	62	5690	16201
100	8	63	5690	17401
100	8	64	5690	12801
100	8	65	5690	16801
100	9	0	5621	16001
100	9	1	5670	15201
100	9	2	5670	14601
100	9	3	5634	16201
100	9	4	5670	15601
100	9	5	5634	17001
100	9	6	5634	13401
100	9	7	5634	15001
100	9	8	5634	16001
100	9	9	5670	13401
100	9	10	5670	12601
100	9	11	5634	13001
100	9	12	5634	16201
100	9	13	5670	16801
100	9	14	5670	16401
100	9	15	5634	13801
100	9	16	5634	12601
100	9	17	5621	16001
100	9	18	5670	15001
100	9	19	5634	14601
100	9	20	5670	17401
100	9	21	5670	13601
100	9	22	5670	13001
100	9	23	5634	12801
100	9	24	5670	14801
100	9	25	5634	14801
100	9	26	5634	12201
100	9	27	5634	16601
100	9	28	5634	15401
100	9	29	5634	17601
100	9	30	5670	12201
100	9	31	5670	13801
100	9	32	5670	14601
100	9	33	5670	13401
100	9	34	5634	13801
100	9	35	5634	16001
100	9	36	5634	14001
100	9	37	5634	14401
100	9	38	5634	13801
100	9	39	5670	16001
100	9	40	5670	14401
100	9	41	5634	16201
100	9	42	5670	14401
100	9	43	5670	13801
100	9	44	5634	16201
100	9	45	5634	16201
100	9	46	5634	14001
100	9	47	5634	13001
100	9	48	5670	15001
100	9	49	5634	13801
100	9	50	5670	14601
100	9	51	5634	12401
100	9	52	5634	14201
100	9	53	5634	16401
100	9	54	5634	15001
100	9	55	5670	15801
100	9	56	5634	12201
100	9	57	5670	15001
100	9	58	5621	14801
100	9	59	5634	15801
100	9	60	5634	16801
100	9	61	5634	14801
100	9	62	5634	17401
100	9	63	5634	17801
100	9	64	5634	19601
100	9	65	5634	16201
250	0	0	22872	93501
250	0	1	22872	96501
250	0	2	22870	99501
250	0	3	22801	88501
250	0	4	22872	100001
250	0	5	22811	93501
250	0	6	22872	88001
250	0	7	22809	85501
250	0	8	22801	85501
250	0	9	22872	90501
250	1	0	22468	92001
250	1	1	22465	87001
250	1	2	22696	87501
250	1	3	22485	80001
250	1	4	22443	81001
250	1	5	22468	86001
250	1	6	22696	96001
250	1	7	22465	97001
250	1	8	22517	95501
250	1	9	22536	82501
250	1	10	22696	89501
